Step,Learning Rate,Train Loss,Validation Loss,Perplexity,Time Elapsed
0,1.0000000000000002e-06,127.06096649169922,127.33898162841797,inf,1.6326961517333984
10,tensor(0.0100),29.936452865600586,29.9506778717041,10172182298624.0,17.47412896156311
20,tensor(0.0060),15.122446060180664,15.106402397155762,3636027.75,33.05745792388916
30,tensor(0.0092),10.692151069641113,10.489350318908691,35930.8046875,49.21705198287964
40,tensor(0.0027),7.569191932678223,7.7101569175720215,2230.892333984375,64.7821671962738
50,tensor(0.0099),6.663219451904297,6.668992042541504,787.601318359375,82.22378516197205
60,tensor(0.0080),5.815133571624756,5.855772495269775,349.2445983886719,98.66095328330994
70,tensor(0.0046),5.3855485916137695,5.3459153175354,209.74978637695312,115.10545587539673
80,tensor(0.0014),5.1880292892456055,5.259490013122559,192.3833465576172,131.77938318252563
90,0.0001,5.146076679229736,5.123971462249756,168.00125122070312,147.72894597053528
99,0.0001,5.176025390625,5.188930988311768,179.27679443359375,162.00809597969055
